34.290	52491
34.470	52849
34.650	51787
34.830	51221
35.010	50607
35.190	50088
35.370	49279
35.550	49096
35.730	48588
35.910	47883
36.090	47729
36.270	46769
36.450	46216
36.630	45691
36.810	45418
36.990	44829
37.170	44256
37.350	43898
37.530	43285
37.710	42888
37.890	42585
38.070	41912
38.250	41103
38.430	40852
38.610	40095
38.790	39666
38.970	39440
39.150	38757
39.330	38005
39.510	37867
39.690	37244
39.870	36852
40.050	36375
40.230	36075
40.410	35530
40.590	35158
40.770	34756
40.950	34752
41.130	33719
41.310	33659
41.490	33254
41.670	32511
41.850	32498
42.030	32135
42.210	31553
42.390	31166
42.570	31041
42.750	30664
42.930	29928
43.110	29897
43.290	29058
43.470	28781
43.650	28547
43.830	28375
44.010	28003
44.190	27468
44.370	27442
44.550	26905
44.730	26742
44.910	26097
45.090	26066
45.270	25514
45.450	25197
45.630	25212
45.810	24628
45.990	24424
46.170	23997
46.350	23529
46.530	23379
46.710	23185
46.890	22750
47.070	22493
47.250	22235
47.430	22097
47.610	21747
47.790	21252
47.970	21118
48.150	20986
48.330	20652
48.510	20331
48.690	19933
48.870	19879
49.050	19549
49.230	19498
49.410	19349
49.590	18809
49.770	18895
49.950	18399
50.130	18183
50.310	17998
50.490	17948
50.670	17345
50.850	17428
51.030	17114
51.210	16958
51.390	16543
51.570	16549
51.750	16456
51.930	15810
52.110	15974
52.290	15830
52.470	15596
52.650	15223
52.830	14936
53.010	14612
53.190	14732
53.370	14313
53.550	14306
53.730	13890
53.910	13878
54.090	13895
54.270	13714
54.450	13404
54.630	13267
54.810	12945
54.990	12794
55.170	12494
55.350	12519
55.530	12259
55.710	12052
55.890	12135
56.070	11918
56.250	12002
56.430	11809
56.610	11467
56.790	11363
56.970	11323
57.150	11112
57.330	10970
57.510	10821
57.690	10534
57.870	10548
58.050	10401
58.230	10280
58.410	10064
58.590	10008
58.770	9863
58.950	9857
59.130	9628
59.310	9748
59.490	9521
59.670	9291
59.850	9083
60.030	8995
60.210	9047
60.390	8780
60.570	8897
60.750	8767
60.930	8568
61.110	8720
61.290	8413
61.470	8268
61.650	8210
61.830	7913
62.010	8015
62.190	7943
62.370	7568
62.550	7704
62.730	7627
62.910	7521
63.090	7508
63.270	7407
63.450	7386
63.630	7246
63.810	7064
63.990	7019
64.170	6961
64.350	6871
64.530	6864
64.710	6812
64.890	6711
65.070	6530
65.250	6447
65.430	6457
65.610	6328
65.790	6266
65.970	5889
66.150	5858
66.330	5721
66.510	5455
66.690	5211
66.870	4961
67.050	4607
67.230	4232
67.410	3997
67.590	3273
67.770	2949
67.950	2492
68.130	2069
68.310	1597
68.490	1302
68.670	 969
68.850	 741
69.030	 571
69.210	 493
69.390	 381
69.570	 301
69.750	 231
69.930	 212
70.110	 156
70.290	 120
70.470	 103
70.650	 109
70.830	  88
71.010	  68
71.190	  75
71.370	  63
71.550	  48
71.730	  46
71.910	   0
