# Lambda (Å), Efficiency
1.959999999999999964e+00,9.412518810608814235e-01
1.969999999999999973e+00,9.413421034254105813e-01
1.979999999999999982e+00,9.412597610504503942e-01
1.989999999999999991e+00,9.409924983707647073e-01
2.000000000000000000e+00,9.411664817953330209e-01
2.009999999999999787e+00,9.410417506310566615e-01
2.020000000000000018e+00,9.410826965423279011e-01
2.029999999999999805e+00,9.410858723071293674e-01
2.040000000000000036e+00,9.410091996512137680e-01
2.049999999999999822e+00,9.410208311319763208e-01
2.059999999999999609e+00,9.409932883983267438e-01
2.069999999999999840e+00,9.410206460297453335e-01
2.079999999999999627e+00,9.409446847294391514e-01
2.089999999999999858e+00,9.410327097810632369e-01
2.099999999999999645e+00,9.409834703897470565e-01
2.109999999999999876e+00,9.406547025051391619e-01
2.119999999999999662e+00,9.407561120089349416e-01
2.129999999999999893e+00,9.405577356650662857e-01
2.139999999999999680e+00,9.405015788994771642e-01
2.149999999999999911e+00,9.405097967062739928e-01
2.159999999999999698e+00,9.405119509536064015e-01
2.169999999999999929e+00,9.404631818721382874e-01
2.179999999999999716e+00,9.403959455931435452e-01
2.189999999999999947e+00,9.402358254283227357e-01
2.199999999999999734e+00,9.401928542429888180e-01
2.209999999999999964e+00,9.401715629800778684e-01
2.219999999999999751e+00,9.398452065313438464e-01
2.229999999999999982e+00,9.400133242426643720e-01
2.239999999999999769e+00,9.400692220614379480e-01
2.250000000000000000e+00,9.400588894512470484e-01
2.259999999999999787e+00,9.400211926397706863e-01
2.270000000000000018e+00,9.399382307974364359e-01
2.279999999999999805e+00,9.399948179627212186e-01
2.290000000000000036e+00,9.399028186291267239e-01
2.299999999999999822e+00,9.396875820321964889e-01
2.310000000000000053e+00,9.397236866651210718e-01
2.319999999999999840e+00,9.396815616456858367e-01
2.329999999999999627e+00,9.396255284905695726e-01
2.339999999999999858e+00,9.395633066797434152e-01
2.349999999999999645e+00,9.394750918961750630e-01
2.359999999999999876e+00,9.392603167619099080e-01
2.369999999999999662e+00,9.392040567138877361e-01
2.379999999999999893e+00,9.393353977842818781e-01
2.389999999999999680e+00,9.393088781073839488e-01
2.399999999999999911e+00,9.390920661790502777e-01
2.409999999999999698e+00,9.389534568047482876e-01
2.419999999999999929e+00,9.390863089421861432e-01
2.429999999999999716e+00,9.389893407617124765e-01
2.439999999999999947e+00,9.388716940519303833e-01
2.449999999999999734e+00,9.387572867167489621e-01
2.459999999999999964e+00,9.387047647588453447e-01
2.469999999999999751e+00,9.387406638541565540e-01
2.479999999999999982e+00,9.387278993332206500e-01
2.489999999999999769e+00,9.385513168592871658e-01
2.500000000000000000e+00,9.385097382711710123e-01
2.509999999999999787e+00,9.384355232673547986e-01
2.520000000000000018e+00,9.383045977055534115e-01
2.529999999999999805e+00,9.383260962041064523e-01
2.540000000000000036e+00,9.382900307158011932e-01
2.549999999999999822e+00,9.382120818671358942e-01
2.560000000000000053e+00,9.381738569492895641e-01
2.569999999999999840e+00,9.381173618301734685e-01
2.579999999999999627e+00,9.380204274841550394e-01
2.589999999999999858e+00,9.377406195729676153e-01
2.599999999999999645e+00,9.376585573668578810e-01
2.609999999999999876e+00,9.376620527101335867e-01
2.619999999999999662e+00,9.375549986648459289e-01
2.629999999999999893e+00,9.375351748003784014e-01
2.639999999999999680e+00,9.375656492968363898e-01
2.649999999999999911e+00,9.376170639116280237e-01
2.659999999999999698e+00,9.375268855191845052e-01
2.669999999999999929e+00,9.373583875476795280e-01
2.679999999999999716e+00,9.373258420764680743e-01
2.689999999999999947e+00,9.372995213499188960e-01
2.699999999999999734e+00,9.372785404365134854e-01
2.709999999999999964e+00,9.370574901230938059e-01
2.719999999999999751e+00,9.368797810590231423e-01
2.729999999999999982e+00,9.367628325898915698e-01
2.739999999999999769e+00,9.370302961009538967e-01
2.750000000000000000e+00,9.371410793186784050e-01
2.759999999999999787e+00,9.367009588710696333e-01
2.770000000000000018e+00,9.364502641569194541e-01
2.779999999999999805e+00,9.363224788555871703e-01
2.790000000000000036e+00,9.365513296572243185e-01
2.799999999999999822e+00,9.365710060029357464e-01
2.810000000000000053e+00,9.363816448239811185e-01
2.819999999999999840e+00,9.364841601414698458e-01
2.829999999999999627e+00,9.364880755104065813e-01
2.839999999999999858e+00,9.361066714640209341e-01
2.849999999999999645e+00,9.360441699663084592e-01
2.859999999999999876e+00,9.361683075207979376e-01
2.869999999999999662e+00,9.361783079879857361e-01
2.879999999999999893e+00,9.361195083362138236e-01
2.889999999999999680e+00,9.359286568627944725e-01
2.899999999999999911e+00,9.357031161484425930e-01
2.909999999999999698e+00,9.354625316255051892e-01
2.919999999999999929e+00,9.353056605889158437e-01
2.929999999999999716e+00,9.352575754803473806e-01
2.939999999999999947e+00,9.354329783439910839e-01
2.949999999999999734e+00,9.354751876890660123e-01
2.959999999999999964e+00,9.354414295743539443e-01
2.969999999999999751e+00,9.352503539346715966e-01
2.979999999999999982e+00,9.351216268969807510e-01
2.989999999999999769e+00,9.352385328592524028e-01
3.000000000000000000e+00,9.352807212252558511e-01
3.009999999999999787e+00,9.352510947129332175e-01
3.020000000000000018e+00,9.350604683328413991e-01
3.029999999999999805e+00,9.348317714446972015e-01
3.040000000000000036e+00,9.347559326787943101e-01
3.049999999999999822e+00,9.346859771197726374e-01
3.060000000000000053e+00,9.346292986200690489e-01
3.069999999999999840e+00,9.344491200927501628e-01
3.080000000000000071e+00,9.341613390975570530e-01
3.089999999999999858e+00,9.341600966301925046e-01
3.099999999999999645e+00,9.342475919984112309e-01
3.109999999999999876e+00,9.341493006070019645e-01
3.119999999999999662e+00,9.340850014022989978e-01
3.129999999999999893e+00,9.341747851368282785e-01
